id,dataSetName,displayName,commonName,System Name,Epoch,constellationName,mass,notes,source,catalogIdList,simbadId,Gaia DR2,radius,ra,declination,pmra,pmdec,distance,radialVelocity,spectralClass,temperature,realStar,bprp,bpg,grp,luminosity,magu,magb,magv,magr,magi,other,anomaly,polity,worldType,fuelType,portType,populationType,techType,productType,milSpaceType,milPlanType,age,metallicity,miscText1,miscText2,miscText3,miscText4,miscText5,miscNum1,miscNum2,miscNum3,miscNum4,miscNum5,numExoplanets
291f21f6-aa34-4ea6-86e6-a07d922dcf65, 30 ly, * 55 Tau, 55 Tauri, , J2000, Taurus, 0.0, none, , uvby98 520250029|2MASS J04195483+1631214|PLX  955|Cl* Melotte   25      S      77|Cl* Melotte   25     VA     179|Cl* Melotte   25    HAN     212|*  55 Tau|2E   977|2E 0417.0+1624|ADS  3135 AB|AG+16  360|BD+16   579|CCDM J04199+1631AB|CSI+16   579  1|CSI, unknown, , 1006331.66, 64.97857166, 16.5225912, 119.4, -35.48, 151.698, 38.7, F9V, 6310.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
6c93cd27-14e0-4a32-b344-1ea6447ec275, 30 ly, WISE J035934.06-540154.6, , , J2000, Reticulum, 0.0, none, Simbad|GaiaDr2, WISE J035934.06-540154.6|WISEA J035934.07-540154.8, @7834504, , 0.0, 59.89195, -54.03185, -4.13198, -28.70402, 19.234, 0.0, Y0, 3922.815, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
ea4fbcc8-3115-47e3-bb8f-4fd928f30a7a, 30 ly, Ross 154, , V1216 Sgr, 2016, Sagittarius, 0.0, none~ ..., Simbad|GaiaDr2, PLX 4338| 2E 4140| 8pc 336.48| AAVSO 1843-23| AC -24 2833-183| AC -24 2822-183| CSI-23-18467| Ci 20 1108| GCRV 11260| GEN# +6.10010729| GEN# +6.10220154| GEN# +6.00107462| GJ 729| HIC 92403| HIP 92403| IRAS 18467-2353| JP11 5166| JP11 5192| JP11 5165| LFT 1437| LHS 3414| LPM 688| LTT 7462| NLTT 47045| Ross 154| UBV M 42977| V* V1216 Sgr| Zkh 282| [FS2003] 0993| [GKL99] 365| [RHG95] 2960| 2MASS J18494929-2350101| PPM 734465| CD-23 14742| PLX 4338.00| 1ES 1846-23.8| 1RXS J184948.7-235003| 2E 1846.7-2353| 2EUVE J1849-23.8| EUVE J1849-23.8| TYC 6859-1332-1| ASAS J184948-2350.0| WISEA J184949.85-235012.5| UCAC4 331-182994| StKM 2-1392| PM J18498-2350| EPIC 215632069| GALEX 6379711938706803684| WEB 15960| Gaia DR2 4075141768785646848| EPIC 215632123| ** TNN 13A| WDS J18498-2350A| Karmn J18498-238| | HIP 92403, @2523169, Gaia DR2 4075141768785646848, 0.0, 282.458789, -23.83709745, 639.3678503, 0.03683873, 9.707564818, -10.494, M3.5e, 3082.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
41dac460-1612-4ffb-b504-69f5b500181e, 30 ly, Ross 614, , , J2000, Microscopium, 0.0, none, Simbad|GaiaDr2, 2MASS J06292339-0248499|PLX 1509|2E 1663|2RE J062923-024802|2RE J0629-024|CSI-02-06268 1|Ci 20 390|G 106-49|G 108-3|GAT 1306|GCRV 4143|GEN# +6.10010234D|HIC 30920|HIP 30920|JP11 5119|JP11 5118|LFT 473|LPM 239|LTT 2564|NLTT 16580|RE J0629-024|RE J062922-024830|Ross 614|V* V577 Mon|[FS2003] 0369|[GKL99] 158|[GKL99] 159|[KW97] 29-9|0ES 0626-02.7|1RXS J062923.1-024845|2E 0626.8-0246|2EUVE J0629-02.8|EUVE J0629-02.8|EUVE J0629-02.7|GJ 234|WISEA J062923.89-024858.0|UCAC4 436-017625|WEB 6159|PM J06293-0248|GJ 234 A|CCDM J06294-0249A|IDS 06243-0244 A|LHS 1849|8pc 242.89A|Ross 614A|WDS J06293-0248A|Zkh 88|[RHG95] 1048|TYC 4789-3303-1|** B 2601A|Gaia DR2 3117120863523946368|TIC 711366839|TIC 43085522, @893443, Gaia DR2 3117120863523946368, 0.0, 97.34746, -2.81356, 750.14, -802.947, 13.41751, 16.7, M4.5V, 3153.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
fe82af53-ca50-4305-af26-f22d5daa95fd, 30 ly, DENIS J025503.3-470049, , DENIS J025503.3-470049, 2016, Eridanus, 0.0, none~ ..., Simbad|GaiaDr2, 2MUCD 10158|2MASS J02550357-4700509|2MASSI J0255035-470050|NAME DENIS 0255-4700|DENIS J0255.0-4700|DENIS J025503.3-470049|Gaia DR2 4752399493622045696|WISEA J025504.75-470057.3| | |, @3028054, Gaia DR2 4752399493622045696, 0.0, 43.77198594, -47.01672836, 1012.44472, 0.18216792, 15.87926694, 0.0, L9, 1500.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
ef27f574-e8e7-48a1-9ea5-c533a4ecd550, 30 ly, Gaia DR2 2048464693115057280, , , J2000, Cygnus, 0.0, none, GaiaDR2, WISE J193555.27+361722.8|, , , 0.0, 293.98023, 36.28976, -80.97861, -31.48104, 27.34028, 0.0, K !fictional, 0.0, true, 1.04721, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
201c821a-4fdc-4636-9b71-1f65443e20a9, 30 ly, ULAS J133553.45+113005.2, , ULAS J133553.45+113005.2, 2000, , 0.0, ..., no source identified, , ULAS J133553.45+113005.2, , 0.0, 203.97255, 11.501316, -183.38, 13.1, 32.65265265, 0.0, T, 0.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, null, 0.0, 0.0, , , , , , 0.0, 0.0, 0.0, 0.0, 0.0, 0
0c434b38-0b37-4420-abee-b076707b7bb2, 30 ly, HD 88230, , HD 88230, 2016, Ursa major, 0.0, none~ ..., Simbad|GaiaDr2, PLX 2390| LSPM J1011+4927| ASCC 327385| USNO-B1.0 1394-00210100| 2E 2238| 8pc 205.22| AG+49 914| BD+50 1725| CCDM J10114+4927A| Ci 20 564| Ci 18 1218| DO 33188| G 196-9| GAT 950| GC 13987| GCRV 6436| GEN# +1.00088230| GJ 380| Gmb 1618| HD 88230| HIC 49908| HIP 49908| IDS 10053+4958 A| IRAS 10082+4942| JP11 1905| LFT 696| LHS 280| LTT 12732| NLTT 23613| NSV 4765| PM 10083+4942| PPM 51736| SAO 43223| SKY# 19607| TYC 3437-811-1| UBV 9470| UBV M 15985| USNO 833| YZ 49 3582| YZC 26 3582| Zkh 137| [GKL99] 214| [HFE83] 712| [RHG95] 1592| uvby98 100088230| 2MASS J10112218+4927153| 2E 1008.2+4942| [ZEH2003] RX J1011.4+4927 1| RX J1011.4+4927| 1RXS J101124.1+492718| WDS J10114+4927A| WISEA J101120.70+492709.9| UCAC4 698-052810| StKM 2-612| PM J10113+4927| 2RXP J101122.8+492714| WEB 9187| Gaia DR2 823773494718931968| HD 88230| HIP 49908, @572410, Gaia DR2 823773494718931968, 0.7, 152.832929, 49.4519889, -1363.287186, 0.016043497, 15.88779766, -25.916, K7.5e, 4056.7378, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
f1faf4b3-bfbd-487e-947f-421826a9b149, 30 ly, LP 469-67, , LP 469-67, 2016, Pisces, 0.0, none~ ..., Simbad|GaiaDR2, LSPM J0202+1020| NLTT 6802| 2MASS J02021620+1020136| USNO-B1.0 1003-00018076| GJ 3128| LHS 1326| LP 469-67| USNO 693| [RHG95] 363| PLX 420.01| WISEP J020215.77+102011.1| WISEA J020215.75+102010.8| UCAC4 502-002930| PM J02022+1020| Gaia DR2 2571094283835172736| Karmn J02022+103| |, @1437872, Gaia DR2 2571094283835172736, 0.0, 30.56463582, 10.3359579, -673.6390078, 0.07145263, 30.1316667, 20.021, M5.5, 3293.0, true, 3.89086, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
f7341b55-0257-4b8e-90a0-9c2980858767, 30 ly, LP 656-38, , , J2000, Eridanus, 0.0, none, Simbad|GaiaDr2, 2MASS J05015746-0656459|8pc 163.00|GJ 3323|LHS 1723|LP 656-38|NLTT 14393|[RHG95] 855|1RXS J050157.6-065641|ASAS J050157-0656.6|RAVE J050157.5-065646|WISEA J050157.03-065651.8|Gaia DR2 3187115498866675456|UCAC3 167-17522|UCAC4 416-007809|PM J05019-0656|Karmn J05019-069, @750158, Gaia DR2 3187115498866675456, 0.0, 75.48928, -6.94621, -551.722, -533.936, 16.3, 42.31, M4.0Ve, 2752.0, true, 0.0, 0.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, false, false, NA, NA, NA, NA, NA, NA, NA, NA, NA, 0.0, 0.0, , , , , 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0
