1P,Halley,76.1,1986-02-09,0.587,17.94,0.967,162.2,5.5,
2P,Encke,3.3,2003-12-28,0.34,2.21,0.847,11.8,9.8,
6P,d'Arrest,6.51,2008-08-01,1.346,3.49,0.614,19.5,8.5,
9P,Tempel 1,5.51,2005-07-05,1.5,3.12,0.519,10.5,12,
19P,Borrelly,6.86,2001-09-14,1.358,3.61,0.624,30.3,11.9,
21P,Giacobini-Zinner,6.52,1998-11-21,0.996,3.52,0.706,31.8,9,
26P,Grigg-Skjellerup,5.09,1992-07-22,0.989,2.96,0.664,21.1,12.5,
27P,Crommelin,27.89,1984-09-01,0.743,9.2,0.919,29,12,
45P,Honda-Mrkos-Pajdusakova,5.29,1995-12-25,0.528,3.02,0.825,4.3,13.5,
46P,Wirtanen,5.46,2013-10-21,1.063,3.12,0.652,11.7,9,
55P,Tempel-Tuttle,32.92,1998-02-28,0.982,10.33,0.906,162.5,9,
67P,Churyumov-Gerasimenko,6.57,2002-08-18,1.292,3.51,0.632,7.1,0,
73P,Schwassmann-Wachmann 3,5.36,2006-06-02,0.937,3.06,0.694,11.4,11.7,
75P,Kohoutek,6.24,1973-12-28,1.571,3.4,0.537,5.4,12.1,
76P,West-Kohoutek-Ikemura,6.46,2000-06-01,1.596,3.45,0.54,30.5,10.6,
81P,Wild 2,6.39,2003-09-25,1.583,3.44,0.54,3.2,6.5,
95P,Chiron,50.7,1996-02-14,8.46,13.7,0.383,7,0,
107P,Wilson-Harrington,4.29,2001-03-26,1,2.64,0.623,2.8,9,
-1,Hale-Bopp,4000,1997-03-31,0.914,250,0.995,89.4,-1,
-2,Hyakutake,40000.0,1996-05-01,0.23,1165,0.9998,124.9,0,
