Constellation,IAU,NASA,Genitive,Origin,Meaning,Brighest starPositionDescriptor
Andromeda,And,Andr,Andromedae,ancient (Ptolemy),Andromeda(The chained maiden or princess),Alpheratz
Antlia,Ant,Antl,Antliae,1763 Lacaille,air pump,α Antliae
Apus,Aps,Apus,Apodis,1603 Uranometria  created byKeyserandde Houtman,Bird-of-paradise/Exotic Bird/Extraordinary Bird,α Apodis
Aquarius,Aqr,Aqar,Aquarii,ancient (Ptolemy),water-bearer,Sadalsuud
Aquila,Aql,Aqil,Aquilae,ancient (Ptolemy),eagle,Altair
Ara,Ara,Arae,Arae,ancient (Ptolemy),altar,β Arae
Aries,Ari,Arie,Arietis,ancient (Ptolemy),ram,Hamal
Auriga,Aur,Auri,Aurigae,ancient (Ptolemy),charioteer,Capella
Boötes,Boo,Boot,Boötis,ancient (Ptolemy),herdsman,Arcturus
Caelum,Cae,Cael,Caeli,1763 Lacaille,chiselor engraving tool,α Caeli
Camelopardalis,Cam,Caml,Camelopardalis,1613 Plancius,giraffe,βCamelopardalis
Cancer,Cnc,Canc,Cancri,ancient (Ptolemy),crab,Tarf
Canes Venatici,CVn,CVen,Canum Venaticorum,1690 Firmamentum Sobiescianum Hevelius,hunting dogs,Cor Caroli
Canis Major,CMa,CMaj,Canis Majoris,ancient (Ptolemy),greater dog,Sirius
Canis Minor,CMi,CMin,Canis Minoris,ancient (Ptolemy),lesser dog,Procyon
Capricornus,Cap,Capr,Capricorni,ancient (Ptolemy),sea goat,Deneb Algedi
Carina,Car,Cari,Carinae,1763 Lacaille  split fromArgo Navis,keel,Canopus
Cassiopeia,Cas,Cass,Cassiopeiae,ancient (Ptolemy),Cassiopeia(mythological character),Schedar
Centaurus,Cen,Cent,Centauri,ancient (Ptolemy),centaur,Rigil Kentaurus
Cepheus,Cep,Ceph,Cephei,ancient (Ptolemy),The King of Cephus,Alderamin
Cetus,Cet,Ceti,Ceti,ancient (Ptolemy),sea monster(later interpreted as a whale),Diphda
Chamaeleon,Cha,Cham,Chamaeleontis,1603 Uranometria  created byKeyserandde Houtman,chameleon,α Chamaeleontis
Circinus,Cir,Circ,Circini,1763 Lacaille,compasses,α Circini
Columba,Col,Colm,Columbae,1592 Plancius  split fromCanis Major,dove,Phact
