HIP,RA,DEC,V,PARX,SIGPX,B-V,SIGBV,CCDM,HD,BD
6,00 00 04.30,+03 56 47.4,12.31,18.8,4.99,1.336,0.02,          ,      ,          
7,00 00 05.40,+20 02 11.8,9.64,17.74,1.3,0.74,0.02,          ,      ,B+19 5185 
10,00 00 08.70,-50 52 01.5,8.59,10.76,1.1,0.489,0.011,          ,224717,          
18,00 00 12.70,-04 03 13.5,11.03,19.93,2.36,1.567,0.197,          ,      ,B- 4 6001 
24,00 00 18.20,-23 27 09.9,9.05,9.73,1.21,0.528,0.015,          ,224746,          
26,00 00 20.20,-13 23 35.9,9.13,9.19,1.34,0.535,0.02,          ,224744,B-14 6597 
27,00 00 20.50,-41 17 51.1,9.32,9.66,1.38,0.671,0.017,          ,224748,          
38,00 00 26.60,-79 03 42.6,8.65,23.84,0.78,0.778,0.015,          ,224752,          
47,00 00 32.40,-56 50 06.9,10.78,24.45,1.97,1.15,0.02,          ,      ,          
50,00 00 34.20,-53 05 51.6,6.49,16.89,0.8,0.616,0.005,00006-5306,224782,          
54,00 00 36.40,+17 58 08.2,10.57,20.97,1.71,1.03,0.015,          ,      ,          
55,00 00 37.80,-66 40 59.2,7.4,14.66,0.98,0.551,0.015,00006-6641,224783,          
65,00 00 45.10,-54 49 49.2,11,16.98,2.43,1.147,0.005,          ,      ,          
68,00 00 48.10,+16 59 20.3,8.79,31.8,1.17,0.94,0.015,          ,224808,B+16 5027 
74,00 00 53.20,+35 45 09.8,9.93,24.22,1.36,1.068,0.066,          ,      ,B+34 5045 
81,00 00 58.50,-04 55 55.6,8.57,23.43,1.28,0.642,0.002,          ,224828,B- 5 6097 
84,00 01 00.40,+27 53 10.8,9.61,18.9,1.33,0.852,0.046,          ,      ,B+27 4663 
93,00 01 10.10,-00 04 33.3,8.12,16.74,1.28,0.619,0.015,          ,224839,B- 0 4605 
94,00 01 10.70,-32 45 24.5,10.1,10.48,1.48,0.644,0.035,          ,      ,          
95,00 01 12.40,-11 57 50.4,8.67,7.85,1.17,0.513,0.012,          ,224847,B-12 6599 
96,00 01 13.10,+13 58 29.1,10.46,19.83,5.16,1.36,0.01,00012+1358,      ,B+13 5195 
98,00 01 13.70,-52 47 54.9,9.87,6.49,1.44,0.551,0.022,          ,224851,          
101,00 01 16.70,-47 47 37.8,9.88,7.35,1.74,0.509,0.034,          ,224864,          
103,00 01 17.30,-68 22 15.7,8.29,9.15,0.76,0.538,0.01,          ,224853,          
104,00 01 18.40,-31 53 58.6,9.34,8.16,1.21,0.543,0.018,          ,224863,          
111,00 01 23.70,+34 16 54.7,11.28,27.11,2.33,1.308,0.02,          ,      ,          
114,00 01 29.20,+30 44 09.2,7.95,9.93,1.95,0.654,0.007,00015+3044,224882,B+29 5046 
118,00 01 32.70,-09 25 48.1,9.2,12.08,1.33,0.606,0.02,          ,224883,B-10 6212 
129,00 01 39.70,+05 22 21.9,9.32,6.6,1.3,0.559,0.007,          ,224897,B+ 4 5081 
135,00 01 42.40,-00 13 03.0,8.64,20.1,1.22,0.62,0.019,          ,224908,B- 1 4517 
140,00 01 48.60,-68 06 17.3,9.04,8.98,0.93,0.546,0.016,          ,224915,          
142,00 01 48.90,+66 18 21.6,7.33,16.04,0.69,0.73,0.008,          ,224918,B+65 1984 
143,00 01 49.20,+21 27 43.7,10.35,20.05,1.64,1.033,0.019,          ,      ,          
152,00 01 56.20,-28 07 51.4,10.02,5.1,1.42,0.456,0.015,          ,      ,          
153,00 01 56.20,+12 39 17.8,8.9,5.54,1.23,0.459,0.024,          ,224932,B+11 5087 
166,00 02 05.10,-56 30 53.6,8.86,9.46,1.18,0.66,0.015,          ,224965,          
169,00 02 08.40,-68 16 48.7,9.24,63.03,1.98,1.39,0.042,00021-6817,224953,          
179,00 02 16.50,-13 24 27.1,6.9,14.91,0.9,0.534,0.002,          ,224974,B-14 6603 
184,00 02 21.50,+11 00 22.8,8.48,29.75,1.21,0.888,0.02,          ,224983,B+10 5022 
187,00 02 24.50,-06 03 33.1,8.99,6.69,1.38,0.5,0.034,          ,224997,B- 6 6348 
188,00 02 24.60,+06 19 59.3,8.64,10.49,1.23,0.488,0.022,          ,224996,B+ 5 5252 
191,00 02 26.90,-46 01 43.8,12.43,22.98,4.38,1.49,0.015,          ,      ,          
