object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC7831,IC1530,GALXY,AND,0,7.3,32,37,12.8,12.3,89,4,1.5m,0.3m,38,Sb,,,,eF;vS;mE;vF*v nr,
NGC5,UGC62,GALXY,AND,0,7.8,35,22,13.3,13.2,89,4,1.2m,0.7m,115,Elliptical,,,,vF;vS;N=*13;14,compact
NGC7836,UGC65,GALXY,AND,0,8,33,4,13.7,12.7,89,4,0.9m,0.5m,133,Ir,,,,eF;vS;R;bet 2 st,
NGC11,UGC73,GALXY,AND,0,8.7,37,27,13.7,12.5,89,4,1.5m,0.3m,111,Sa,,,,vF;vS;vlE;2 vf st inv,
NGC13,UGC77,GALXY,AND,0,8.8,33,26,13.2,13.5,89,4,2.3m,0.6m,53,Sab,,,,vF;vS;S st + neb,H III 866;UGC 77
NGC6,NGC20,GALXY,AND,0,9.5,33,19,13,99.9,89,4,,,,E-SO,,,,eF;vS;cE = 7831?,
NGC20,NGC6,GALXY,AND,0,9.5,33,19,13,13.8,89,4,1.7m,1.6m,140,E-SO,,,,F;*10 att,comp@ 3.8' PA122 0.5x0.2;B * 0.3' n
NGC27,UGC96,GALXY,AND,0,10.5,29,0,13.4,12.8,89,4,1.2m,0.5m,117,Sb,,,,eF;vS;E;B * nr,
NGC19,UGC98,GALXY,AND,0,10.7,32,59,14.1,99.9,89,4,1.1m,0.6m,42,SBbc Ring,,,,eeF;lE;3 vF st around,
NGC21,NGC29,GALXY,AND,0,10.8,33,21,12.7,12.6,89,4,1.5m,0.7m,154,SBbc,,,,eF;S;lE,
NGC29,NGC21,GALXY,AND,0,10.8,33,21,12.7,12.9,89,4,1.5m,0.7m,154,SBbc,,,,pB;pL;E 0 degrees,H II 853;UGC 100
NGC39,UGC114,GALXY,AND,0,12.3,31,4,13.5,13.6,89,4,1.1m,1m,,Sc,,,,vF;pS;R,H III 861
NGC43,UGC120,GALXY,AND,0,13,30,55,12.6,13.4,89,4,1.6m,1.5m,,SBO,,,,eF;* 12 np 45'',
NGC44,,2STAR,AND,0,13.2,31,17,99.9,99.9,89,4,,,,,,,,eF;vS,
NGC48,UGC133,GALXY,AND,0,14,48,14,13.6,13.7,59,4,1.6m,1m,15,SBbc,,,,eef;pL;R;v diffic,
NGC49,UGC136,GALXY,AND,0,14.4,48,15,13.7,13.7,59,4,1.1m,1m,165,SO,,,,eeF;S;R;2nd of 3,NGC 51 group;in group of 6;NGC 51 the brightest
NGC51,UGC138,GALXY,AND,0,14.6,48,15,13.1,13.2,59,4,1.7m,1.4m,20,S0 Pec,,,,pF;pS;R;bM,brightest in group of 6 including NGC 49 and NGC 48
NGC67,VV166,GALXY,AND,0,18.2,30,4,14.2,13.9,89,4,0.3m,0.2m,55,Elliptical,,,,eF;vS;R,
NGC67A,ZwG499.104,GALXY,AND,0,18.2,30,3,15.7,15.7,89,4,0.4m,0.2m,100,E5,,,,,
NGC68,UGC170,GALXY,AND,0,18.3,30,4,12.9,14.2,89,4,1.2m,1.1m,,E-SO,,,,eF;L;3 or 4 st+neb,H V 16;In compact group
NGC69,MCG5-1-66,GALXY,AND,0,18.3,30,2,14.8,14.2,89,4,0.5m,0.3m,45,E-SO Bar,,,,eF;vS;R,
NGC70,UGC174;IC1539,GALXY,AND,0,18.4,30,5,13.5,13.9,89,4,1.6m,1.4m,5,Sbc,,,,eF;vS;R;bet 2 F st,In compact group w NGC 68 and 71
NGC71,UGC173;VV166,GALXY,AND,0,18.4,30,4,13.2,13.4,89,4,1.5m,1.2m,90,S0 Pec,,,,eF;vS;R,In compact group
NGC72,UGC176;VV166,GALXY,AND,0,18.5,30,2,13.5,13.3,89,4,1.1m,0.9m,15,SBab,,,,eF;vS;R,In compact group
NGC72A,MCG5-1-70,GALXY,AND,0,18.6,30,2,14.7,12,89,4,0.3m,0.3m,,Elliptical,,,,,1' south of NGC 72;compact
NGC74,MCG5-1-71,GALXY,AND,0,18.8,30,4,16,99.9,89,4,0.8m,0.3m,130,Sb,,,,eF;S;E;last of 6,
NGC76,UGC185,GALXY,AND,0,19.6,29,56,13,12.7,89,4,1m,0.9m,80,Compact,,,,vF;S;bM,compact;complex nucl region
NGC79,MCG4-2-3,GALXY,AND,0,21,22,34,15,99.9,126,4,0.5m,0.5m,,E-SO,,,,vF;S;vlbM,Compact
NGC80,UGC203,GALXY,AND,0,21.2,22,21,12.1,13.2,126,4,2.2m,2m,,E-SO,,,,F;S;R;psbM,Brightest in group
NGC81,NPM1G+22016,GALXY,AND,0,21.2,22,23,16.4,99.9,126,4,0.2m,0.1m,90,S,,,,eeF;sp NGC 83,
NGC82,,1STAR,AND,0,21.3,22,28,14,99.9,126,4,,,,,,,,eF;stellar,
NGC83,UGC206,GALXY,AND,0,21.4,22,26,12.5,13.4,126,4,1.3m,1.2m,,E0,,,,E;biN;3 B st nr,NGC 80 group
NGC84,,1STAR,AND,0,21.4,22,37,17,99.9,126,4,,,,,,,,eF;st & neb,
NGC85A,NGC85,GALXY,AND,0,21.4,22,31,15.5,99.9,126,4,0.5m,0.5m,,S,,,,eeF;cL;R,
NGC85B,IC1546,GALXY,AND,0,21.5,22,30,15.5,99.9,126,4,0.9m,0.3m,120,Sbc,,,,,
NGC86,MCG4-2-9,GALXY,AND,0,21.5,22,33,15,99.9,126,4,0.7m,0.3m,5,S pec,,,,eF;vS;lbM,
NGC90,UGC208,GALXY,AND,0,21.9,22,24,14.5,99.9,126,4,1.9m,0.8m,132,SBc,,,,vF;lE,
NGC91,,1STAR,AND,0,21.9,22,22,13.7,14,126,4,,,,,,,,vF;vS;* 13 sp,Distorted;NGC 80 group
NGC93,UGC209,GALXY,AND,0,22.1,22,25,13.3,12.9,126,4,1.4m,0.6m,48,Sb,,,,vF;vS,Part of NGC 80 group
NGC94,ZwG479.17,GALXY,AND,0,22.2,22,29,15.5,99.9,126,4,0.4m,0.2m,20,S,,,,eF;vS,Northern of 2
NGC96,MCG4-2-14,GALXY,AND,0,22.3,22,33,17,99.9,126,4,0.7m,0.7m,,SO,,,,vF;S;vlbM,
NGC97,UGC216,GALXY,AND,0,22.5,29,45,12.3,13,90,4,1.5m,1.3m,,Elliptical,,,,F;vS;R;gbM,Compact
NGC108,UGC246,GALXY,AND,0,26,29,13,12.1,13.3,90,4,2m,1.6m,75,SBO-a,,,,pF;pL;R;pslbM,H III 148
NGC109,UGC251,GALXY,AND,0,26.2,21,48,13.7,13.8,126,4,1.1m,1m,77,SBa,,,,vF;S;3 st nr,f of 2
NGC112,UGC255,GALXY,AND,0,26.8,31,42,13.5,12.7,90,4,1m,0.5m,108,Sc,,,,eF;vS;R,
NGC140,UGC311,GALXY,AND,0,31.3,30,47,13.2,13.8,90,4,1.5m,1.2m,45,SBc Ring,,,,vF;S;R;gbM,
NGC149,UGC332,GALXY,AND,0,33.8,30,43,13.7,13.5,90,4,1.2m,0.7m,155,SO,,,,vF;vS;R;gbM*14;*12 sp,Compact
ANDIII,PGC2121,GALXY,AND,0,35.4,36,31,15,99.9,90,4,2.0m,2.0m,,dE2,,,,,Andromeda Dwarf;Member Local Group
NGC160,UGC356,GALXY,AND,0,36.1,23,57,12.6,14.3,126,4,2.9m,1.6m,45,Sa Ring,,,,vF;vS;stell;*8;17 degrees;4',H III 476;UGC 356
NGC162,,1STAR,AND,0,36.2,23,58,99.9,99.9,126,4,,,,,,,,eF;stellar;NGC 160 sp,
NGC169,UGC365;Arp282,GALXY,AND,0,36.9,23,59,13.2,99.9,126,4,1.8m,0.8m,88,Sb,,,,F;pL;D or biN;*6 nf 4',Contact P w IC 1559
NGC181,MCG5-2-32,GALXY,AND,0,38.4,29,28,15.5,99.9,90,4,0.7m,0.2m,160,S pec,,,,eF;eS;irr;vF * att,
NGC183,UGC387,GALXY,AND,0,38.5,29,31,12.7,14.1,90,4,2.1m,1.6m,130,Elliptical,,,,pF;vS;R;gbM,
NGC184,ZwG500.59,GALXY,AND,0,38.6,29,27,14.6,12.3,90,4,0.7m,0.2m,5,SO,,,,eF;eS,
NGC205,M110,GALXY,AND,0,40.4,41,41,8.1,14,60,4,19.5m,11.5m,170,SA0,,,HM,vB;vL;mE 165 degrees;vgvmbM,M31 Companion;UGC 426;H V 18; Member Local Group
NGC206,,G+C+N,AND,0,40.5,40,44,12.8,99.9,60,4,1.8m,0.6m,,Pec,,,,vF;vL;mE 0 degrees,H V 36;A star cloud in the south end of Andromeda Galaxy
NGC214,UGC438,GALXY,AND,0,41.5,25,30,12.3,13.1,126,4,1.9m,1.5m,35,SBc,,,,pF;pS;gvlbM;R,H II 209;UGC 438
NGC218,UGC440,GALXY,AND,0,41.7,36,22,14,14.1,90,4,1.1m,1.1m,,S pec,,,,eF;vS;R;gbM,
NGC221,M32,GALXY,AND,0,42.7,40,52,8.1,12.4,60,4,8.5m,6.5m,170,E2,,,M,vvB;L;R;psmbMN,Companion to M31; Member of Local Group
NGC224,M31,GALXY,AND,0,42.7,41,16,3.4,13.5,60,4,189m,61m,35,Sb,,,M,!!!eeB;eL;vmE,Local Group;Andromeda Galaxy;nearest spiral
NGC226,UGC459,GALXY,AND,0,42.9,32,35,13.3,13,90,4,0.9m,0.9m,,Pec,,,,eF;S;R;* 13 s 20'',
NGC228,UGC458,GALXY,AND,0,42.9,23,30,13.7,13.8,126,4,1.2m,1.1m,,SBab Ring,,,,eF;S;R;fainter of 2,2nd of 3
NGC229,MCG4-2-49,GALXY,AND,0,43.1,23,31,14.5,99.9,126,4,1m,0.4m,95,S pec,,,,vF;S;R;smaller of 2,
NGC233,UGC464,GALXY,AND,0,43.6,30,35,12.4,13.4,90,4,1.7m,1.6m,,Elliptical,,,,F;vS;R;lbM,H III 149
ANDI,PGC2666,GALXY,AND,0,45.7,38,3,13.2,99.9,90,4,4.0m,3.0m,156,E3,,,,,Andromeda Dwarf;Member Local Group
NGC243,MCG5-2-43,GALXY,AND,0,46,29,58,13.6,12.5,90,4,0.9m,0.4m,145,S pec,,,,F;vS;R;gbM;* 10 p,
NGC252,UGC491,GALXY,AND,0,48,27,37,12.4,12.8,126,4,1.4m,1m,80,Sa Ring,,,,pB;S;R;pmbM;r;** p,H II 609;Brightest in group;UGC 491
NGC258,MCG4-3-5,GALXY,AND,0,48.2,27,39,15,99.9,127,4,0.5m,0.4m,,Sb,,,,eF;S;vf * close,
NGC260,UGC497,GALXY,AND,0,48.6,27,41,13.5,13.2,127,4,0.8m,0.8m,,Scp,,,,eF;pS;lE,NGC 252 group
NGC262,UGC499;Mrk348,GALXY,AND,0,48.8,31,57,13.1,13.1,90,4,1.4m,1.4m,,Sa,,,,eF;vS;R;v diffic,
NGC272,OCL312,OPNCL,AND,0,51.4,35,49,8.5,99.9,90,4,,,,IV 1 p,8,9,,Cl;L;lC,
NGC280,UGC534,GALXY,AND,0,52.5,24,21,13.2,13.8,127,4,1.7m,1.1m,95,SB Ring,,,,eF;S;R;*15 f 30'',H III 477;distorted;asym ecc nucl region;UGC 534
NGC304,UGC573,GALXY,AND,0,56.1,24,8,13,12.6,127,4,1.1m,0.7m,175,S pec,,,,pF;S;R;svlbM,eruptive ?;sff of 2
NGC317A,NGC317-1,GALXY,AND,0,57.7,43,48,14.5,99.9,60,4,1.4m,1.3m,,SO,,,,eeF;pS;lE;D * close f,
NGC317B,NGC317-2,GALXY,AND,0,57.7,43,47,13.9,99.9,60,4,1.1m,0.5m,105,SBbc,,,,,
IC65,UGC625,GALXY,AND,1,0.9,47,41,12.8,14.3,60,4,3.9m,1.1m,155,SBbc,,,,eF;pL;mE;B star sf,
NGC389,UGC703,GALXY,AND,1,8.5,39,42,13.8,13,60,4,1.3m,0.4m,54,Sa,,,,eF;eS;R;* nr,
