GAIA_ID       Character                                                              
NAME          Character   Simbad Main ID or Gaia ID, anyway, "Name"                  
RA            Numeric     J2000                                                      
DEC           Numeric     J2000                                                      
PARALLAX      Numeric     in milli arc seconds                                       
DISTLY        Numeric                                                                
OBJ_TYPE      Character   see Simbad's object type list                              
SPEC_TYPE     Character   a ? means it was calculated from temp and radius but isn't published                        
MAG_G         Numeric     Visual apparent mag - may be G or V filter                                                           
MAG_B         Numeric     apparent mag B filter                                                            
MAG_R         Numeric     apparent mag R filter                                                            
TEMP          Numeric     as published or from B/R                                                           
RADIUS        Numeric     As published (lots are 0)                                                            
BP_RP         Numeric     B mag / R mag                                                            
RADIAL_VEL    Character   as published                                                           
ABS_MAG       Numeric     calculated from Mag_G                                                            
PM_RA         Numeric     Proper motion in mas/yr in the ra direction                                                           
PM_DEC        Numeric     Proper motion in mas/yr in the dec direction                                                            
PLX_ERROR     Numeric     as published                                                           
X             Numeric     in ly                                                            
Y             Numeric     in ly                                                            
Z             Numeric     in ly                                                            
CAT_IDS       Memo        All crossmatched catalog ids delimited with |            
