A9V,1.7,8.85E+000,1.75E+000,7650,0.24,2.5,-0.12,2.38,219,224,255
A8V,1.8,1.09E+001,1.81E+000,7900,0.19,2.3,-0.14,2.16,213,222,255
A7V,1.83,1.22E+001,1.81E+000,8150,0.14,2.2,-0.17,2.03,200,213,255
A6V,1.87,1.51E+001,1.89E+000,8400,0.09,2,-0.2,1.8,199,212,255
A5V,1.9,1.70E+001,1.89E+000,8650,0.05,1.9,-0.23,1.67,202,215,255
A4V,2.1,2.32E+001,2.09E+000,8900,0,1.6,-0.26,1.34,197,211,255
A3V,2.4,2.89E+001,2.20E+000,9150,-0.04,1.4,-0.3,1.1,191,207,255
A2V,2.5,3.94E+001,2.44E+000,9400,-0.05,1.1,-0.34,0.76,187,203,255
A1V,2.7,4.92E+001,2.59E+000,9650,-0.06,0.9,-0.38,0.52,181,199,255
A0V,2.9,6.74E+001,2.88E+000,9900,-0.06,0.6,-0.42,0.18,185,201,255
