C9Ia,10,1.03E+008,8.79E+004,1990,2.4,-6.9,-8.38,-15.28,255,157,0
C8Ia,10.8,1.56E+007,2.59E+004,2288,2.17,-7,-6.23,-13.23,255,165,21
C7Ia,11.6,4.12E+006,1.04E+004,2585,1.98,-7.1,-4.69,-11.79,255,173,43
C6Ia,12.4,1.57E+006,5.18E+003,2883,1.8,-7.2,-3.54,-10.74,255,182,64
C5Ia,13.2,7.83E+005,3.00E+003,3180,1.65,-7.3,-2.68,-9.98,255,190,86
C4Ia,12.6,4.29E+005,1.86E+003,3478,1.5,-7.3,-2.03,-9.33,255,198,107
C3Ia,12,2.97E+005,1.31E+003,3776,1.37,-7.4,-1.53,-8.93,255,206,129
C2Ia,11.4,2.28E+005,9.89E+002,4073,1.25,-7.5,-1.15,-8.65,255,214,150
C1Ia,10.8,1.91E+005,7.85E+002,4371,1.14,-7.6,-0.85,-8.45,255,222,172
C0Ia,10.2,1.70E+005,6.49E+002,4669,1.03,-7.7,-0.62,-8.32,255,231,193
C9Ia0,12,7.11E+008,2.31E+005,1990,2.4,-9,-8.38,-17.38,255,157,0
C8Ia0,12.9,1.08E+008,6.82E+004,2288,2.17,-9.1,-6.23,-15.33,255,165,21
C7Ia0,13.9,2.85E+007,2.74E+004,2585,1.98,-9.2,-4.69,-13.89,255,173,43
C6Ia0,14.8,1.09E+007,1.36E+004,2883,1.8,-9.3,-3.54,-12.84,255,182,64
C5Ia0,15.7,4.94E+006,7.55E+003,3180,1.65,-9.3,-2.68,-11.98,255,190,86
C4Ia0,15,2.71E+006,4.67E+003,3478,1.5,-9.3,-2.03,-11.33,255,198,107
C3Ia0,14.2,1.71E+006,3.15E+003,3776,1.37,-9.3,-1.53,-10.83,255,206,129
C2Ia0,13.5,1.31E+006,2.37E+003,4073,1.25,-9.4,-1.15,-10.55,255,214,150
C1Ia0,12.7,1.10E+006,1.88E+003,4371,1.14,-9.5,-0.85,-10.35,255,222,172
C0Ia0,12,8.13E+005,1.42E+003,4669,1.03,-9.4,-0.62,-10.02,255,231,193
C9Ib,8,2.15E+007,4.02E+004,1990,2.4,-5.2,-8.38,-13.58,255,157,0
C8Ib,8.7,3.26E+006,1.18E+004,2288,2.17,-5.3,-6.23,-11.53,255,165,21
C7Ib,9.3,8.61E+005,4.77E+003,2585,1.98,-5.4,-4.69,-10.09,255,173,43
C6Ib,10,2.73E+005,2.16E+003,2883,1.8,-5.3,-3.54,-8.84,255,182,64
C5Ib,10.6,9.41E+004,1.04E+003,3180,1.65,-5,-2.68,-7.68,255,190,86
C4Ib,10.2,4.29E+004,5.88E+002,3478,1.5,-4.8,-2.03,-6.83,255,198,107
C3Ib,9.7,2.47E+004,3.78E+002,3776,1.37,-4.7,-1.53,-6.23,255,206,129
C2Ib,9.2,1.73E+004,2.72E+002,4073,1.25,-4.7,-1.15,-5.85,255,214,150
C1Ib,8.8,1.20E+004,1.97E+002,4371,1.14,-4.6,-0.85,-5.45,255,222,172
C0Ib,8.3,9.77E+003,1.56E+002,4669,1.03,-4.6,-0.62,-5.22,255,231,193
C9II,6,2.83E+006,1.46E+004,1990,2.4,-3,-8.38,-11.38,255,190,91
C8II,6.6,3.58E+005,3.92E+003,2288,2.17,-2.9,-6.23,-9.13,255,195,104
C7II,7.1,8.61E+004,1.51E+003,2585,1.98,-2.9,-4.69,-7.59,255,200,117
C6II,7.6,2.73E+004,6.83E+002,2883,1.8,-2.8,-3.54,-6.34,255,205,130
C5II,8.1,1.13E+004,3.61E+002,3180,1.65,-2.7,-2.68,-5.38,255,211,143
C4II,7.8,6.20E+003,2.23E+002,3478,1.5,-2.7,-2.03,-4.73,255,216,157
C3II,7.4,3.57E+003,1.44E+002,3776,1.37,-2.6,-1.53,-4.13,255,221,170
C2II,7.1,2.28E+003,9.89E+001,4073,1.25,-2.5,-1.15,-3.65,255,226,183
C1II,6.8,1.59E+003,7.16E+001,4371,1.14,-2.4,-0.85,-3.25,255,232,196
C0II,6.5,1.29E+003,5.65E+001,4669,1.03,-2.4,-0.62,-3.02,255,237,209
C9III,4.1,1.79E+005,3.67E+003,1990,2.4,0,-8.38,-8.38,255,233,154
