K9V,0.55,1.44E-001,9.82E-001,3640,1.43,8.6,-1.74,6.86,255,202,157
K8V,0.6,1.55E-001,9.46E-001,3780,1.37,8.3,-1.52,6.78,255,209,174
K7V,0.64,1.87E-001,9.67E-001,3920,1.31,7.9,-1.33,6.57,255,199,142
K6V,0.68,2.11E-001,9.57E-001,4060,1.26,7.6,-1.16,6.44,255,205,152
K5V,0.7,2.66E-001,1.00E+000,4200,1.2,7.2,-1.01,6.19,255,210,161
K4V,0.73,3.10E-001,1.02E+000,4340,1.15,6.9,-0.88,6.02,255,216,181
K3V,0.76,3.35E-001,9.90E-001,4480,1.1,6.7,-0.76,5.94,255,222,195
K2V,0.78,4.01E-001,1.02E+000,4620,1.05,6.4,-0.66,5.74,255,227,196
K1V,0.8,4.43E-001,1.01E+000,4760,1,6.2,-0.57,5.63,255,224,188
K0V,0.82,5.43E-001,1.05E+000,4900,0.96,5.9,-0.49,5.41,255,238,221
