M9V,0.5,4.15E-003,5.53E-001,2000,2.39,19,-8.3,10.7,255,198,108
M8V,0.1,3.53E-003,4.34E-001,2167,2.26,17.9,-7.02,10.88,255,198,109
M7V,0.15,3.69E-003,3.83E-001,2333,2.14,16.8,-5.97,10.83,255,197,111
M6V,0.2,4.50E-003,3.68E-001,2500,2.03,15.7,-5.08,10.62,255,195,112
M5V,0.25,6.24E-003,3.81E-001,2667,1.93,14.6,-4.34,10.26,255,204,111
M4V,0.3,1.06E-002,4.40E-001,2833,1.83,13.4,-3.71,9.69,255,201,127
M3V,0.34,1.78E-002,5.09E-001,3000,1.74,12.3,-3.18,9.12,255,206,129
M2V,0.4,3.21E-002,6.14E-001,3167,1.65,11.2,-2.72,8.48,255,196,131
M1V,0.45,6.18E-002,7.68E-001,3333,1.57,10.1,-2.33,7.77,255,204,142
M0V,0.5,1.25E-001,9.90E-001,3500,1.49,9,-1.99,7.01,255,195,139
