DA9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DA8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DA7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DA6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DA5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DA4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DA3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DA2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DA1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DA0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
DB9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DB8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DB7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DB6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DB5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DB4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DB3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DB2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DB1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DB0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
DC9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DC8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DC7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DC6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DC5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DC4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DC3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DC2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DC1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DC0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
DO9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DO8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DO7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DO6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DO5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DO4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DO3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DO2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DO1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DO0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
DQ9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DQ8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DQ7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DQ6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DQ5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DQ4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DQ3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DQ2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DQ1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DQ0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
DZ9,0.1,6.73E-005,8.98E-003,5600,0.74,15.4,-0.22,15.18,255,239,225
DZ8,0.2,1.05E-004,8.87E-003,6300,0.55,14.8,-0.1,14.7,255,247,245
DZ7,0.3,1.80E-004,8.89E-003,7200,0.34,14.2,-0.09,14.11,243,243,255
DZ6,0.4,3.15E-004,8.64E-003,8400,0.09,13.7,-0.2,13.5,224,230,255
DZ5,0.5,6.93E-004,8.90E-003,10080,-0.07,13.1,-0.45,12.65,207,218,255
DZ4,0.6,1.82E-003,9.22E-003,12600,-0.13,12.5,-0.9,11.6,192,207,255
DZ3,0.7,6.02E-003,9.44E-003,16800,-0.2,11.9,-1.6,10.3,179,197,255
DZ2,0.8,2.55E-002,8.64E-003,25200,-0.27,11.4,-2.67,8.73,168,189,255
DZ1,0.9,2.65E-001,6.96E-003,50400,-0.35,10.8,-4.61,6.19,159,181,255
DZ0,1.1,6.91E+000,9.02E-003,100000,-0.37,10.2,-7.55,2.65,155,178,255
M9VI,0.1,4.15E-003,5.53E-001,2000,2.39,19,-8.3,10.7,255,198,108
M8VI,0.1,2.44E-003,3.61E-001,2167,2.26,18.3,-7.02,11.28,255,198,109
M7VI,0.1,1.94E-003,2.78E-001,2333,2.14,17.5,-5.97,11.53,255,197,111
M6VI,0.1,1.63E-003,2.22E-001,2500,2.03,16.8,-5.08,11.72,255,195,112
M5VI,0.1,1.72E-003,2.00E-001,2667,1.93,16,-4.34,11.66,255,204,111
M4VI,0.1,2.66E-003,2.21E-001,2833,1.83,14.9,-3.71,11.19,255,201,127
M3VI,0.2,4.90E-003,2.67E-001,3000,1.74,13.7,-3.18,10.52,255,206,129
M2VI,0.2,8.85E-003,3.22E-001,3167,1.65,12.6,-2.72,9.88,255,196,131
M1VI,0.2,1.86E-002,4.22E-001,3333,1.57,11.4,-2.33,9.07,255,204,142
M0VI,0.2,3.76E-002,5.44E-001,3500,1.49,10.3,-1.99,8.31,255,195,139
K9VI,0.3,4.33E-002,5.40E-001,3640,1.43,9.9,-1.74,8.16,255,202,157
